serial,exam,q_no,primary_topic,question,options,answer,status_A_topic,status_B_phase,status_C_full,notes
34,64th BPSC,96,Parliament,In which Article of the Constitution of India was the provision for reservation of scheduled castes in the Lok Sabha made?,"A. Article 330 | B. Article 331 | C. Article 332 | D. Article 333 | E. None of the above/More than one of the above

*Correct Answer: **(A)** | Verified Answer: **Article 330***",,,,,
35,64th BPSC,97,President,The President,"A. is not a part of the Parliament | B. is a part of the Parliament | C. is a part of the Parliament and sits in the Parliament | D. can vote in the Parliament | E. None of the above/More than one of the above

*Correct Answer: **(B)** | Verified Answer: **is a part of the Parliament***",,,,,
36,64th BPSC,98,Local Government,Which one of the following Articles directs the State Governments to organize the Panchayats?,"A. Article 33 | B. Article 40 | C. Article 48 | D. Article 50 | E. None of the above/More than one of the above

*Correct Answer: **(B)** | Verified Answer: **Article 40***",,,,,
37,64th BPSC,99,Centre-State Relations,In which year did the State Jharkhand come into existence?,"A. 1998 | B. 1999 | C. 2000 | D. 2001 | E. None of the above/More than one of the above

*Correct Answer: **(C)** | Verified Answer: **2000***",,,,,
38,64th BPSC,100,Centre-State Relations,"In which one of the following years was Sarkaria Commission, which was empowered to recommend changes in Centre-State relations, submitted its report?","A. 1983 | B. 1984 | C. 1985 | D. 1987 | E. None of the above/More than one of the above

*Correct Answer: **(D)** | Verified Answer: **1987***",,,,,
39,64th BPSC,101,Finance Commission,Under which one of the following Articles is the formation of Finance Commission laid down?,"A. Article 280 | B. Article 269 | C. Article 268 | D. Article 265 | E. None of the above/More than one of the above

*Correct Answer: **(A)** | Verified Answer: **Article 280***",,,,,
40,64th BPSC,102,Attorney General,The Attorney General of India is appointed by,"A. the Law Minister | B. the President of India | C. the Speaker of the Lok Sabha | D. the Prime Minister | E. None of the above/More than one of the above

*Correct Answer: **(B)** | Verified Answer: **the President of India***",,,,,
41,65th BPSC,41,State Legislature,Which one of the following Indian States has the largest number of members in its State Legislature?,"A. Arunachal Pradesh | B. Himachal Pradesh | C. Manipur | D. Meghalaya | E. None of the above/More than one of the above

*Correct Answer: **(B)** | Verified Answer: **(B)***",,,,,
42,65th BPSC,42,Miscellaneous (Order of Precedence),"In the Indian Order of Precedence, who amongst the following comes first?","A. The Chairman of UPSC | B. The Chief Election Commissioner | C. The Comptroller and Auditor General | D. The Chief Justice of High Court | E. None of the above/More than one of the above

*Correct Answer: **(E)** | Verified Answer: **(E)***",,,,,
43,65th BPSC,43,Parliament,Which one of the following statements is correct regarding parliamentary form of Government?,"A. The Legislature is responsible to Judiciary. | B. The Legislature is responsible to Executive. | C. The Legislature and the Executive are independent. | D. The President is responsible to Judiciary. | E. None of the above/More than one of the above

*Correct Answer: **(E)** | Verified Answer: **(",,,,,
44,65th BPSC,44,Local Government,Which of the following was constituted under the Panchayati Raj system?,"A. Khap Panchayat | B. Caste Panchayat | C. Gram Panchayat | D. Jan Panchayat | E. None of the above/More than one of the above

*Correct Answer: **(C)** | Verified Answer: **(C)***",,,,,
45,65th BPSC,45,Local Government,Who amongst the following is a land record officer?,"A. Patwari | B. Lambardar | C. Zamindar | D. Zaildar | E. None of the above/More than one of the above

*Correct Answer: **(A)** | Verified Answer: **(A)***",,,,,
46,65th BPSC,46,Salient Features of the Constitution,Which one of the following characteristics is not true for unitary form of Government?,"A. Swift decision | B. Flexible | C. Ideal for large countries | D. Uniformity of laws | E. None of the above/More than one of the above

*Correct Answer: **(C)** | Verified Answer: **(C)***",,,,,
47,65th BPSC,47,Local Government,What is the objective of Community Development Programmes?,"A. Providing educational facilities | B. Improving standards of living | C. Political training | D. Helping villages in planning | E. None of the above/More than one of the above

*Correct Answer: **(E)** | Verified Answer: **(E)***",,,,,
48,65th BPSC,48,Political Parties,Aam Aadmi party is a,"A. State party | B. national party | C. regional party | D. registered party | E. None of the above/More than one of the above

*Correct Answer: **(E)** | Verified Answer: **(E)***",,,,,
49,65th BPSC,49,Fundamental Rights,Which one of the following constitutional remedies is also known as 'postmortem'?,"A. Prohibition | B. Mandamus | C. Certiorari | D. Quo warranto | E. None of the above/More than one of the above

*Correct Answer: **(C)** | Verified Answer: **(C)***",,,,,
50,65th BPSC,50,Election Commission,What is the version of the machine VVPAT used for voting in India?,"A. M1 | B. Z1 | C. M3 | D. Z3 | E. None of the above/More than one of the above

*Correct Answer: **(C)** | Verified Answer: **(C)***",,,,,
51,65th BPSC,138,Centre-State Relations,Which one of the following States was never granted the Special Category Status (SCS) by the Central Government?,"A. Bihar | B. Sikkim | C. Himachal Pradesh | D. Jammu and Kashmir | E. None of the above/More than one of the above

*Correct Answer: **(A)** | Verified Answer: **(A)***",,,,,
52,66th BPSC,102,Election Commission,Which Article in the Indian Constitution is related with the establishment of the Election Commission of India?,"A. Article 324 | B. Article 148 | C. Article 342 | D. Article 325 | E. None of the above/More than one of the above

*Correct Answer: **(A)** | Verified Answer: **Article 324***",,,,,
53,66th BPSC,104,Salient Features of the Constitution,What is meant by 'Rule of Law'?,"A. One act for all and one judiciary for all | B. One act for all and one State for all | C. One State for all and one judiciary for all | D. All acts for one and one judiciary for all | E. None of the above/More than one of the above

*Correct Answer: **(A)** | Verified Answer: **One act for all an",,,,,
54,66th BPSC,105,Local Government,Which Article gives the list of 29 functions to be performed by the Panchayati Raj Institutions?,"A. Article 243(H) | B. Article 243(E) | C. Article 243(F) | D. Article 243(G) | E. None of the above/More than one of the above

*Correct Answer: **(D)** | Verified Answer: **Article 243(G)***",,,,,
55,66th BPSC,107,Local Government,The legislative origins of the 73rd Constitutional Amendment Act can be traced back to which Constitutional Amendment Bill?,"A. 61st Constitutional Amendment Bill | B. 62nd Constitutional Amendment Bill | C. 63rd Constitutional Amendment Bill | D. 64th Constitutional Amendment Bill | E. None of the above/More than one of the above

*Correct Answer: **(D)** | Verified Answer: **64th Constitutional Amendment Bill***",,,,,
56,66th BPSC,109,Local Government,Which one of the following is not the characteristic of decentralization?,"A. Autonomy | B. People's participation | C. To instil non-confidence among local communities | D. To empower local communities | E. None of the above/More than one of the above

*Correct Answer: **(C)** | Verified Answer: **To instil non-confidence among local communities***",,,,,
57,67th BPSC,1,Local Government,Which State does not have Panchayat system?,"A. Meghalaya | B. Kerala | C. Nagaland | D. Mizoram | E. None of the above/More than one of the above

*Correct Answer: **(E)** | Verified Answer: **None of the above/More than one of the above (Meghalaya, Nagaland, and Mizoram all lack this system)***",,,,,
58,67th BPSC,2,Parliament,The division of each State into territorial constituencies for the Lok Sabha is done by the Delimitation Commission. This delimitation has been freezed till which year?,"A. 2026 | B. 2027 | C. 2024 | D. 2025 | E. None of the above/More than one of the above

*Correct Answer: **(A)** | Verified Answer: **2026***",,,,,
59,67th BPSC,3,Supreme Court,The Supreme Court is a,"A. final interpreter of the Constitution | B. civil court | C. federal court | D. protector of human rights | E. None of the above/More than one of the above

*Correct Answer: **(E)** | Verified Answer: **None of the above/More than one of the above (It acts as multiple of these)***",,,,,
60,67th BPSC,4,Local Government,"To review the financial position of Panchayats, the State Government constitutes every five years a/an","A. advisory commission | B. advisory committee | C. finance commission | D. finance committee | E. None of the above/More than one of the above

*Correct Answer: **(C)** | Verified Answer: **finance commission***",,,,,
61,67th BPSC,5,Local Government,What is the objective of community development?,"A. Environment protection | B. Harmonious life | C. Economic development | D. Build human capital | E. None of the above/More than one of the above

*Correct Answer: **(E)** | Verified Answer: **None of the above/More than one of the above (It encompasses multiple objectives)***",,,,,
62,67th BPSC,6,Vice-President,Electoral College for the 16th Vice Presidential Election of India for 2022 consists of how many members?,"A. 545 | B. 250 | C. 798 | D. 788 | E. None of the above/More than one of the above

*Correct Answer: **(D)** | Verified Answer: **788***",,,,,
63,67th BPSC,7,President,The Indian President is eligible for re-election for how many times?,"A. Thrice | B. Any number of times | C. Once | D. Twice | E. None of the above/More than one of the above

*Correct Answer: **(B)** | Verified Answer: **Any number of times***",,,,,
64,67th BPSC,8,Parliament,Generally how many sessions are there in the Lok Sabha?,"A. 5 | B. 6 | C. 3 | D. 4 | E. None of the above/More than one of the above

*Correct Answer: **(C)** | Verified Answer: **3***",,,,,
65,67th BPSC,9,Non-Constitutional Bodies,Who was the Chairman of the First Law Commission in Independent India?,"A. Justice T. V. Venkatarama Aiyar | B. Mr. M. C. Setalvad | C. Justice J. L. Kapur | D. Justice V. K. Sundaram | E. None of the above/More than one of the above

*Correct Answer: **(B)** | Verified Answer: **Mr. M. C. Setalvad***",,,,,
66,67th BPSC,10,Constitutional Amendments,"If 'One Nation One Election' is to be realized in India, which Article of the Indian Constitution will require an amendment?","A. Article 356 | B. Article 246 | C. Article 83 | D. Article 172 | E. None of the above/More than one of the above

*Correct Answer: **(E)** | Verified Answer: **None of the above/More than one of the above (Articles 83, 172, etc. need amendment)***",,,,,
67,68th BPSC,1,Fundamental Rights,The phrase 'equality before law' used in Article 14 of the Indian Constitution has been borrowed from the Constitution of,"A. Britain | B. USA | C. France | D. More than one of the above | E. None of the above

*Correct Answer: **(A)** | Verified Answer: **Britain***",,,,,
68,68th BPSC,2,Making of the Constitution,What was the duration in the making of the Indian Constitution?,"A. 1 year 10 months and 12 days | B. 2 years 10 months and 5 days | C. 2 years 11 months and 18 days | D. More than one of the above | E. None of the above

*Correct Answer: **(C)** | Verified Answer: **2 years 11 months and 18 days***",,,,,
69,68th BPSC,3,PM & Council of Ministers,The Council of Ministers in a State is collectively responsible to,"A. the Chief Minister | B. the Governor | C. the Legislative Assembly | D. More than one of the above | E. None of the above

*Correct Answer: **(C)** | Verified Answer: **the Legislative Assembly***",,,,,
70,68th BPSC,4,Local Government,"Consider the following statements : In the post-73rd Amendment era, there has to be decentralization of 1. decision-making powers 2. system as a whole 3. judicial powers 4. administrative powers. Which of the above statements are correct?","A. 1, 2 and 3 only | B. 1, 2 and 4 only | C. 2, 3 and 4 only | D. More than one of the above | E. None of the above

*Correct Answer: **(B)** | Verified Answer: **1, 2 and 4 only***",,,,,
71,68th BPSC,5,Parliament,The representation in the Rajya Sabha includes,"A. members directly elected by citizens | B. members indirectly elected by citizens through their representatives | C. members nominated by the President of India | D. More than one of the above | E. None of the above

*Correct Answer: **(D)** | Verified Answer: **More than one of the above***",,,,,
72,68th BPSC,6,Supreme Court,Which of the following is concerned with the Supreme Court of India?,"A. Appellate jurisdiction | B. Original jurisdiction | C. Collegium system | D. More than one of the above | E. None of the above

*Correct Answer: **(D)** | Verified Answer: **More than one of the above***",,,,,
73,68th BPSC,7,Local Government,The minimum age for contesting elections to the Panchayati Raj Institutions should be how many years according to the 73rd Constitutional Amendment Act?,"A. 21 years | B. 25 years | C. 18 years | D. More than one of the above | E. None of the above

*Correct Answer: **(A)** | Verified Answer: **21 years***",,,,,
74,68th BPSC,8,Statutory Bodies,"With reference to the Consumer Disputes Redressal at the district level in India, which one of the following statements is not correct?",A. The State Government can establish more than one District Forum in a district if it deems fit. | B. One of the members of the District Forum shall be a woman. | C. The District Forum entertains the complaints where the value of goods or services does not exceed rupees fifty lakhs. | D. More than ,,,,,
75,68th BPSC,9,Local Government,At what level does a Panchayat Samiti operate a Panchayati Raj structure?,"A. District level | B. Gram Panchayat level | C. Block-level body | D. More than one of the above | E. None of the above

*Correct Answer: **(C)** | Verified Answer: **Block-level body***",,,,,
76,68th BPSC,10,Local Government,Which one of the following was established as the first programme of community development?,"A. National Extension Service | B. Integrated Rural Development Programme | C. Cooperation Movement | D. More than one of the above | E. None of the above

*Correct Answer: **(A)** | Verified Answer: **National Extension Service***",,,,,
77,69th BPSC,57,Directive Principles,The concept of the Directive Principles of State Policy in the Indian Constitution was borrowed from the Constitution of,"A. England | B. Switzerland | C. Ireland | D. None of the above

*Correct Answer: **(C)** | Verified Answer: **Ireland***",,,,,
78,69th BPSC,58,Centre-State Relations,Sikkim became a full-fledged State of the Union of India in,"A. 1974 | B. 1975 | C. 1976 | D. None of the above

*Correct Answer: **(B)** | Verified Answer: **1975***",,,,,
79,69th BPSC,101,Parliament,Consider the following statements about the collegium system : 1. The Supreme Court collegium is a five-member body. 2. Parliament by law has evolved the collegium system. 3. Judges of SC and HC are appointed only through collegium. 4. Introduced in 1993 by Justice P. N. Bhagwati in First Judges Cas,"A. Only 1 | B. 1 and 2 | C. 3 and 4 | D. 1 and 3

*Correct Answer: **(D)** | Verified Answer: **1 and 3***",,,,,
80,69th BPSC,102,Directive Principles,"Consider the following statements regarding the 42nd Amendment to the Constitution of India : 1. Added 'Socialist', 'Secular', 'Integrity'. 2. Added eight Fundamental Duties. 3. Added new DPSP (39A, 43A, 47). 4. Granted power to President to disqualify members of State Legislatures. Which of the abo","A. 1 and 2 | B. 3 and 4 | C. 2 and 3 | D. 1 and 4

*Correct Answer: **(C)** | Verified Answer: **2 and 3***",,,,,
81,69th BPSC,103,Constitutional Provisions for SCs/STs,The specifications required for a community to be declared as a Scheduled Tribe are 1. indications of primitive traits 2. distinctive culture 3. shyness of contact 4. backwardness and geographical isolation,"A. Only 1 and 2 | B. Only 2, 3 and 4 | C. Only 1, 3 and 4 | D. All of the above

*Correct Answer: **(D)** | Verified Answer: **All of the above***",,,,,
82,69th BPSC,104,Fundamental Rights,"From which country, the Indian Constitution has taken reference for the idea of the Fundamental Rights?","A. Ireland | B. United States of America | C. United Kingdom | D. Canada

*Correct Answer: **(B)** | Verified Answer: **United States of America***",,,,,
83,69th BPSC,105,Fundamental Rights,Untouchability is abolished by which Article of the Indian Constitution?,"A. Article 14 | B. Article 15 | C. Article 17 | D. Article 22

*Correct Answer: **(C)** | Verified Answer: **Article 17***",,,,,
84,69th BPSC,106,High Court,The authority to determine the number of Judges in a High Court rests with which of the following entities?,"A. The President | B. The Chief Minister of the State | C. The Prime Minister | D. The Parliament

*Correct Answer: **(A)** | Verified Answer: **The President***",,,,,
85,69th BPSC,107,Constitutional Provisions for SCs/STs,The Fifth Schedule deals with the governance and protection of the interests of which specific group of people?,"A. Scheduled Castes | B. Religious Minorities | C. Scheduled Tribes | D. Linguistic Minorities

*Correct Answer: **(C)** | Verified Answer: **Scheduled Tribes***",,,,,
86,69th BPSC,108,Supreme Court,In which case(s) did the Supreme Court of India give for the first time the doctrine of ‘basic structure’ of the Constitution?,"A. Golaknath vs. State of Punjab | B. Kesavananda Bharati vs. State of Kerala | C. Minerva Mills vs. Union of India | D. Both (A) and (B)

*Correct Answer: **(B)** | Verified Answer: **Kesavananda Bharati vs. State of Kerala***",,,,,
87,69th BPSC,109,Political Parties,"Match the following political parties listed in List–I with their years of establishment in List–II : a. CPI (Marxist) 1. 1964, b. CPI 2. 1998, c. BSP 3. 1925, d. AITC 4. 1984","A. a-1, b-3, c-4, d-2 | B. a-2, b-1, c-4, d-3 | C. a-2, b-1, c-3, d-4 | D. a-3, b-4, c-1, d-2

*Correct Answer: **(A)** | Verified Answer: **a-1, b-3, c-4, d-2***",,,,,
88,69th BPSC,110,Parliament,"Under which Article(s), the Speaker can allow any member of the House to speak in his/her mother tongue?","A. Article 110 (1) | B. Article 122 (2) | C. Article 120 (1) | D. Both (A) and (B)

*Correct Answer: **(C)** | Verified Answer: **Article 120 (1)***",,,,,
89,69th BPSC,119,Emergency Provisions,"Which of the following is/are the consequence(s) of invoking Article 360, declaration of a financial emergency?","A. Only 1, 3 and 4 | B. Only 2 | C. Only 1 and 2 | D. All of the above

*Correct Answer: **(A)** | Verified Answer: **Only 1, 3 and 4***",,,,,
90,70th BPSC,7,Constitutional Amendments,Which Amendment to the Constitution abolished the two seats that were reserved for the Anglo-Indian community?,"A. 108th | B. 100th | C. 102nd | D. 104th

*Correct Answer: **(D)** | Verified Answer: **104th***",,,,,
91,70th BPSC,84,Local Government,"Under Article ""243J"" which of the following can make provisions to the maintenance of accounts by Panchayats?","A. Parliament | B. State Legislature | C. District Collector | D. State Finance Commission

*Correct Answer: **(B)** | Verified Answer: **State Legislature***",,,,,
92,70th BPSC,94,Election Commission,"What is the eligibility age, after the changes made in March 2024, for senior citizens to vote by postal ballot?","A. 85 years | B. 80 years | C. 82 years | D. 90 years

*Correct Answer: **(A)** | Verified Answer: **85 years***",,,,,
93,70th BPSC,96,Preamble,Which two words have been incorporated in the Preamble by 42nd Amendment?,"A. Democratic and socialist | B. Republic and secular | C. Socialist and sovereign | D. Secular and socialist

*Correct Answer: **(D)** | Verified Answer: **Secular and socialist***",,,,,
94,70th BPSC,105,Parliament,Which Article of the Constitution restrict a Member of Parliament to hold the office of profit?,"A. Article 102 (1) (c) | B. Article 102 (1) (b) | C. Article 102 (1) (d) | D. Article 102 (1) (a)

*Correct Answer: **(D)** | Verified Answer: **Article 102 (1) (a)***",,,,,
95,70th BPSC,109,Parliament,"What is the object of ""cut motion"" in Parliament?","A. To move a proposal to reduce expenditure in the budget proposals | B. To restrict day-to-day financial expenditure of the government | C. To restrict grants from consolidated fund of India | D. To restrict the grants of the Government

*Correct Answer: **(A)** | Verified Answer: **To move a propo",,,,,
96,70th BPSC,115,Parliament,What is the position of representation of Anglo-Indian Community in Lok Sabha?,"A. Nomination of them has been done away with by 104th Constitutional Amendment | B. Two anglo-Indians are nominated by the President | C. They are nominated as per their population | D. One anglo-Indian is nominated by the President

*Correct Answer: **(A)** | Verified Answer: **Nomination of them ",,,,,
97,70th BPSC,125,Parliament,Among the following who has been Speaker of Lok Sabha prior to his Election as President of India?,"A. Giani Zail Singh | B. V. V. Giri | C. Neelam Sanjeeva Reddy | D. A. P. J. Abdul Kalam

*Correct Answer: **(C)** | Verified Answer: **Neelam Sanjeeva Reddy***",,,,,
98,70th BPSC,135,Making of the Constitution,Indian National Flag was adopted by the Constituent Assembly on which date?,"A. 1950-11-26 00:00:00 | B. 1950-01-24 00:00:00 | C. 1950-01-26 00:00:00 | D. 1947-07-22 00:00:00

*Correct Answer: **(D)** | Verified Answer: **1947-07-22 00:00:00***",,,,,
99,70th BPSC,136,Parliament,Size of Council of Ministers has been restricted to 15 percent of membership of Lok Sabha by which Constitutional Amendment?,"A. 92nd Amendment | B. 95th Amendment | C. 91st Amendment | D. 93rd Amendment

*Correct Answer: **(C)** | Verified Answer: **91st Amendment***",,,,,
100,70th BPSC,141,Governor,By which time Governor has to return an ordinary bill to the concerned State Legislature for reconsideration?,"A. Three months | B. One month | C. No time limit | D. Two months

*Correct Answer: **(C)** | Verified Answer: **No time limit***",,,,,
101,70th BPSC,147,State Legislature,"Who decides the disqualification of members of State Legislative Assembly, for matters other than those in the tenth schedule of the Constitution?","A. Governor | B. Speaker Legislative Assembly | C. State Election Commission | D. High Court

*Correct Answer: **(B)** | Verified Answer: **Speaker Legislative Assembly***",,,,,
102,71st BPSC (2025),56,Parliament,The power to recruit the Secretarial staff of the House of the People is vested in:,A. Prime Minister's Office (PMO) | B. Union Public Service Commission | C. Staff Selection Commission | D. President after consultation with the Speaker of the House of the people,,,,,
103,71st BPSC (2025),57,Attorney General,Attorney General of India:,A. Is not entitled of audience except the Supreme Court | B. He gives advice to the President on legal matters | C. Cannot participate in the proceedings in the House of Parliament | D. Is a whole time counsel for the government,,,,,
104,71st BPSC (2025),58,Centre-State Relations,Consider the following subjects belonging to different lists of the constitution of India. Which of the following subjects belong to concurrent list? 1) Protection of wildlife 2) Income on Agriculture 3) Tax on Electricity 4) Price control,A. 1 and 4 are correct | B. 2 and 3 are correct | C. Only 4 is correct | D. Only 2 is correct,,,,,
105,71st BPSC (2025),59,Local Government,Which of the following Directive Principles do not follow Gandhian Principles? 1) Organization of Village Panchayats 2) Common Civil Code 3) Promotion of cottage Industry... 4) Right to work,A. 1 and 2 | B. Only 2 | C. 2 and 4 | D. 1 and 3,,,,,
106,71st BPSC (2025),60,Miscellaneous,Which pair is not correctly matched?,A. Allocation of seats in the council of state - 4th schedule | B. Forms of oath - 3rd schedule | C. Administration of scheduled areas - 6th schedule | D. Union List - 7th schedule,,,,,
107,71st BPSC (2025),61,Miscellaneous,Consider the following statements about Central Government: 1) Ministries and Departments are formed... 2) Every Minister is allocated Ministry...,A. Only 1 is correct | B. Only 2 is correct | C. 1 and 2 are correct | D. Neither 1 nor 2 is correct,,,,,
108,71st BPSC (2025),62,State Legislature,What is true about the proceedings of the State Legislature?,A. Business in the legislature shall be transacted only in official language... | B. Advocate General has right to vote | C. It can discuss the conduct of any judge of the High Court also | D. Validity of proceedings shall be called in question on the ground of any alleged irregularity,,,,,
